Frame,Saliency_xcoord,Saliency_ycoord
717,381,119
718,373,70
719,391,87
720,391,86
721,391,86
722,373,70
723,373,70
724,373,70
725,373,70
726,373,70
727,373,70
728,358,85
729,372,91
730,391,113
731,327,145
732,324,146
733,324,146
734,324,146
735,324,146
736,324,146
737,324,146
738,324,146
739,324,146
740,324,146
741,364,278
742,399,246
743,386,259
744,344,215
745,343,215
746,343,215
747,353,224
748,353,224
749,353,224
750,353,224
751,353,224
752,394,239
753,394,239
754,394,239
755,394,239
756,394,239
757,394,239
758,394,239
759,394,239
760,394,239
761,394,239
762,394,239
763,389,256
764,405,264
765,405,264
766,405,264
767,405,264
768,405,264
769,405,264
770,601,307
771,601,307
772,601,307
773,601,307
774,601,307
775,751,368
776,751,368
777,751,368
778,751,368
779,751,368
780,746,317
781,746,317
782,746,317
783,746,317
784,746,317
785,746,317
786,746,317
787,746,317
788,604,335
789,604,335
790,503,321
791,503,321
792,503,321
793,503,321
794,503,321
795,503,321
796,503,321
797,503,321
798,8,284
799,8,284
800,8,284
801,8,284
802,8,284
803,8,284
804,8,284
805,8,284
806,8,284
807,8,284
808,8,284
809,81,279
810,80,281
811,101,415
812,93,343
813,93,343
814,93,343
815,93,343
816,93,343
817,93,343
818,93,343
819,93,343
820,93,343
821,93,343
822,93,343
823,93,343
824,93,343
825,93,343
826,93,343
827,93,343
828,93,343
829,93,343
830,93,343
831,589,411
832,589,411
833,643,426
834,636,426
835,636,426
836,285,368
837,285,368
838,285,368
839,285,368
840,285,368
841,285,368
842,285,368
843,285,368
844,285,368
845,285,368
846,285,368
847,285,368
848,10,45
849,10,45
850,10,45
851,10,45
852,10,288
853,10,288
854,10,288
855,5,426
856,168,428
857,168,428
858,345,428
859,345,428
860,345,428
861,345,428
862,342,428
863,371,428
864,369,428
865,176,365
866,176,365
867,176,365
868,176,365
869,176,365
870,176,365
871,176,365
872,176,365
873,118,346
874,448,398
875,111,350
876,111,350
877,111,350
878,111,350
879,111,350
880,125,342
881,120,356
882,115,347
883,115,347
884,115,347
885,115,347
886,115,347
887,128,341
888,128,341
889,136,366
890,133,356
891,133,356
892,133,356
893,133,356
894,133,356
895,448,409
896,112,368
897,99,349
898,440,407
899,454,406
900,454,406
901,454,406
902,454,406
903,420,427
904,420,427
905,420,427
906,311,317
907,334,277
908,295,289
909,295,289
910,266,258
911,266,258
912,372,426
913,370,427
914,370,427
915,370,427
916,370,427
917,370,427
918,370,427
919,370,427
920,370,427
921,370,427
922,370,427
923,370,427
924,359,297
925,359,260
926,359,260
927,359,260
928,350,173
929,350,173
930,350,173
931,350,173
932,350,173
933,255,319
934,432,38
935,406,46
936,434,22
937,434,22
938,434,22
939,387,52
940,372,154
941,372,154
942,372,154
943,373,282
944,373,282
945,373,282
946,373,282
947,373,282
948,373,282
949,373,282
950,373,282
951,373,282
952,373,282
953,373,282
954,373,282
955,423,336
956,423,336
957,398,317
958,398,317
959,398,317
960,398,317
961,398,317
962,398,317
963,398,317
964,398,317
965,398,317
966,430,428
967,430,428
968,430,428
969,430,428
970,430,428
971,430,428
972,430,428
973,430,428
974,430,428
975,430,428
976,430,428
977,430,428
978,430,428
979,430,428
980,430,428
981,309,428
982,309,428
983,309,428
984,309,428
985,309,428
986,309,428
987,309,428
988,444,2
989,376,5
990,376,5
991,376,5
992,473,5
993,462,3
994,462,3
995,404,2
996,462,36
997,132,304
998,434,71
999,443,76
1000,443,76
1001,443,76
1002,443,76
1003,195,333
1004,195,333
1005,534,348
1006,534,348
1007,534,348
1008,534,348
1009,512,351
1010,561,344
1011,558,343
1012,558,343
1013,616,356
1014,188,377
1015,188,377
1016,188,377
1017,188,377
1018,188,377
1019,501,352
1020,558,345
1021,558,345
1022,558,345
1023,558,345
1024,4,320
1025,4,320
1026,4,320
1027,4,320
1028,4,320
1029,4,320
1030,4,320
1031,4,320
1032,219,405
1033,219,405
1034,293,423
1035,558,5
1036,566,3
1037,566,3
1038,566,3
1039,566,3
1040,566,3
1041,566,3
1042,566,3
1043,566,3
1044,566,3
1045,566,3
1046,617,420
1047,10,422
1048,398,401
1049,398,401
1050,398,401
1051,398,401
1052,398,401
1053,757,424
1054,757,424
1055,757,424
1056,751,3
1057,751,3
1058,372,426
1059,372,426
1060,372,426
1061,10,425
1062,10,425
1063,10,425
1064,10,425
1065,10,425
1066,5,205
1067,60,196
1068,60,196
1069,277,54
1070,279,55
1071,279,55
1072,171,202
1073,170,210
1074,5,211
1075,6,209
1076,249,426
1077,7,424
1078,7,424
1079,400,140
1080,400,140
1081,400,140
1082,297,421
1083,276,421
1084,276,421
1085,276,421
1086,276,421
1087,276,421
1088,276,421
1089,436,245
1090,436,245
1091,436,245
1092,436,245
1093,436,245
1094,436,245
1095,436,245
1096,436,245
1097,436,245
1098,436,245
1099,436,245
1100,436,245
1101,436,245
1102,436,245
1103,436,245
1104,436,245
1105,436,245
1106,436,245
1107,436,245
1108,436,245
1109,436,245
1110,436,245
1111,436,245
1112,436,245
1113,436,245
1114,436,245
1115,436,245
1116,436,245
1117,436,245
1118,436,245
1119,436,245
1120,436,245
1121,436,245
1122,640,126
1123,640,126
1124,640,126
1125,627,120
1126,676,115
1127,676,115
1128,676,115
1129,676,115
1130,607,4
1131,607,4
1132,607,4
1133,670,10
1134,670,10
1135,670,10
1136,474,126
1137,474,126
1138,474,126
1139,393,136
1140,393,136
1141,393,136
1142,290,162
1143,290,162
1144,360,5
1145,357,3
1146,4,175
1147,4,175
1148,4,175
1149,179,20
1150,179,20
1151,179,20
1152,112,49
1153,112,49
1154,112,49
1155,112,49
1156,8,226
1157,8,226
1158,130,251
1159,130,251
1160,130,251
1161,130,251
1162,130,251
1163,130,251
1164,130,251
1165,130,251
1166,130,251
1167,130,251
1168,130,251
1169,130,251
1170,751,425
1171,751,425
1172,751,425
1173,751,425
1174,387,294
1175,387,294
1176,387,294
1177,387,294
1178,387,294
1179,500,235
1180,449,283
1181,572,132
1182,572,132
1183,572,132
1184,572,132
1185,572,132
1186,572,132
1187,572,132
1188,572,132
1189,309,283
1190,309,283
1191,309,283
1192,309,283
1193,586,12
1194,586,12
1195,586,12
1196,586,12
1197,45,319
1198,45,319
1199,45,319
1200,45,319
1201,45,319
1202,444,425
1203,444,425
1204,444,425
1205,444,425
1206,444,425
1207,444,425
1208,444,425
1209,444,425
1210,444,425
1211,444,425
1212,563,427
1213,536,428
1214,760,426
1215,529,427
1216,411,427
1217,418,427
1218,425,427
1219,428,425
1220,354,428
1221,354,428
1222,337,427
1223,337,427
1224,337,427
1225,337,427
1226,337,427
1227,337,427
1228,337,427
1229,337,427
1230,337,427
1231,59,366
1232,5,372
1233,6,379
1234,6,379
1235,6,379
1236,6,379
1237,6,379
1238,309,2
1239,309,2
1240,309,2
1241,317,30
1242,313,36
1243,313,36
1244,313,36
1245,313,36
1246,313,36
1247,335,207
1248,392,234
1249,405,273
1250,139,349
1251,407,286
1252,352,274
1253,352,274
1254,344,428
1255,344,428
1256,344,428
1257,344,428
1258,172,340
1259,172,340
1260,172,340
1261,177,363
1262,177,363
1263,177,363
1264,471,249
1265,455,383
1266,134,339
1267,477,381
1268,477,381
1269,487,386
1270,487,386
1271,487,386
1272,487,386
1273,182,333
1274,207,332
1275,206,332
1276,206,335
1277,483,285
1278,483,285
1279,483,285
1280,483,285
1281,483,285
1282,342,252
1283,342,252
1284,342,252
1285,342,252
1286,342,252
1287,408,380
1288,408,380
1289,408,380
1290,408,380
1291,408,380
1292,408,380
1293,408,380
1294,491,398
1295,491,398
1296,171,341
1297,513,304
1298,513,304
1299,517,308
1300,177,342
1301,177,342
1302,177,342
1303,155,343
1304,155,343
1305,155,343
1306,155,343
1307,155,343
1308,372,389
1309,372,389
1310,292,259
1311,292,259
1312,292,259
1313,292,259
1314,367,392
1315,367,392
1316,367,392
1317,367,392
1318,367,392
1319,491,398
1320,491,398
1321,491,398
1322,143,343
1323,471,396
1324,141,345
1325,141,345
1326,141,345
1327,141,345
1328,140,354
1329,140,354
1330,140,354
1331,140,354
1332,396,325
1333,396,325
1334,396,325
1335,396,325
1336,396,325
1337,396,325
1338,280,371
1339,280,371
1340,280,371
1341,384,348
1342,384,348
1343,384,348
1344,384,348
1345,384,348
1346,384,348
1347,384,348
1348,384,348
1349,384,348
1350,384,348
1351,384,348
1352,384,348
1353,384,348
1354,384,348
1355,394,318
1356,446,392
1357,448,392
1358,448,392
1359,105,345
1360,105,345
1361,407,393
1362,285,122
1363,285,122
1364,285,122
1365,381,7
1366,381,7
1367,381,7
1368,284,4
1369,284,4
1370,108,398
1371,108,398
1372,108,398
1373,15,421
1374,15,421
1375,15,421
1376,15,421
1377,15,421
1378,15,421
1379,15,421
1380,15,421
1381,15,421
1382,15,421
1383,15,421
1384,15,421
1385,15,421
1386,15,421
1387,15,421
1388,15,421
1389,15,421
1390,15,421
1391,15,421
1392,15,421
1393,15,421
1394,15,421
1395,15,421
1396,15,421
1397,15,421
1398,15,421
1399,15,421
1400,15,421
1401,15,421
1402,15,421
1403,429,426
1404,429,426
1405,429,426
1406,642,300
1407,656,298
1408,656,298
1409,656,298
1410,290,381
1411,290,381
1412,626,390
1413,626,390
1414,626,390
1415,626,390
1416,626,390
